TOTPOP	LIFEXPB.M	LIFEXPB.F	LIFEXPB.B	HLIFEXP	MATMORT	MEDBIRTHS	MORTLT5YO	NEONMORT	NEWHIV	TBINC	MALARIA	HEPBVACC	INTINTDS	PRMORT3070	SUICIDE	ALCONS	MORTRAFF	MODFAMPLAN	ADOBIRTHS	MORTAIR	MORTWASH	MORTPOIS	SMOK.M	SMOK.F	DRDENS	AVEI13HRCCS	STUNT5YO	WAST5YO	OW5YO	BETTERH2O	BETTERSAN	CLEANFUEL	AVEPM2.5	DEATHND	HOMICIDE	DEATHCONF
Afghanistan	32527	59.3	61.9	60.5	52.2	396	45	91.1	35.5	0.1	189	15.7	75	13406517	30.5	4	1	15.5	54.7065573770492	51.9	112.6	34.6	7.4	34.09765625	11.64921875	7.7	45	40.9	9.5	5.4	55	32	17	64.1	0.8	7.3	40.9
Albania	2897	75.1	80.7	77.8	68.8	29	99	14	6.2	1.56330275229358	19	96.9644230769231	98	42	18.8	6.5	6.6	15.1	12.9	19.7	171.4	0.2	1.4	51.2	7.6	49.9	73.1822916666667	23.1	9.4	23.4	95	93	67	17.1	0	5	0.1
Algeria	39667	73.8	77.5	75.6	66	140	97	25.5	15.5	0.1	78	0.1	95	9817345.07954546	22.1	1.8	0.6	23.8	77.2	12.4	31.5	2.4	1.1	34.09765625	11.64921875	31.5	73	11.7	4.1	12.4	84	88	95	26	0.1	4.4	1
Andorra	70	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	84.2762430939227	2.8	1.4	1.56330275229358	9.2	96.9644230769231	96	0	19.0162790697674	9.38771929824561	9.1	7.6	54.7065573770492	4.4	63.925	13.2813953488372	2.26162790697674	37.2	27.8	87.6	29	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	10.5	0.224590163934426	0.8	3.5093023255814
Angola	25022	50.9	54	52.4	45.8	477	47	156.9	48.7	2.1	370	145.7	80	17668111	24.2	10.6	7.6	26.9	54.7065573770492	190.9	104.4	111.2	5.5	34.09765625	11.64921875	18.3	18	29.2	8.2	7.05748031496063	49	52	48	42.8	0.1	10.7	0
AntiguaandBarbuda	92	74.1	78.6	76.4	67.5	170.237569060773	100	8.1	4.9	1.56330275229358	7.6	96.9644230769231	99	1395	19.0162790697674	9.38771929824561	3.2	6.7	54.7065573770492	55.5403225806452	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	57.1443113772455	88	23.1518796992481	6.13282442748092	7.05748031496063	98	73.0714285714286	95	15	0	4.4	3.5093023255814
Argentina	43417	72.7	79.9	76.3	67.6	52	100	12.5	6.3	0.3	24	0	94	3948	17.5	10.8	7.6	13.6	54.7065573770492	68.1	26.2	0.7	0.9	29.5	18.4	43.4	83	8.2	1.2	9.9	99	96	95	14.5	0.1	6	0
Armenia	3018	71.6	77.7	74.8	66.8	25	100	14.1	7.4	0.2	45	0	93	38929	29.7	3.3	5.5	18.3	39.2	22.7	125.4	1.1	0.4	52.3	1.5	75.3	96	20.8	4.2	16.8	100	90	95	25.1	0	2.1	0
Australia	23969	80.9	84.8	82.8	71.9	6	99	3.8	2.2	1.56330275229358	6.4	96.9644230769231	91	18843	9.4	11.6	12.6	5.4	54.7065573770492	14.2	0.4	0.1	1.3	16.7	13.1	139.2	100	2	0	7.7	100	100	95	5.8	0.1	1.1	0.1
Austria	8545	79	83.9	81.5	72	4	99	3.5	2.1	1.56330275229358	7.8	96.9644230769231	83	14	12	15.6	8.5	5.4	54.7065573770492	7.9	34.2	0.1	0.4	34.09765625	11.64921875	57.1443113772455	87	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	17.2	0.1	0.9	0.1
